date,level-current,level-chained,change-current,change-chained
2000,10284.8,12559.7,3.2,1
2001,10621.8,12682.2,3.4,1.7
2002,10977.5,12908.8,4.8,2.9
2003,11510.7,13271.1,6.6,3.8
2004,12274.9,13773.5,6.7,3.5
2005,13093.7,14234.2,6,2.9
2006,13855.9,14613.8,4.6,1.9
2007,14477.6,15338.3,1.8,-0.1
2008,14718.6,15604.7,-1.8,-2.5
2009,14418.7,15208.8,3.8,2.6
2010,14964.4,15598.8,3.7,1.6
2011,15517.9,15840.7,4.2,2.2
2012,16155.3,16197,3.6,1.8
2013,16691.5,16495.4,4.4,2.5
2014,17427.6,16912,4,2.9
2015,18120.7,17403.8,2.7,1.6
2016,18624.5,17688.9,4.2,2.2
2017,19519.4,18108.1,2.2,1.5
2018,20580.2,18638.2,2.9,1.8
2019,21428,19072.5,2.3,1.2
2020,20234,18843.4,-5.9,-5.8
