date,level-current,level-chained,change-current,change-chained
1985,4346.7,7593.8,5.5,3.5
1986,4590.2,7860.5,6,3.5
1987,4870.2,8132.6,7.9,4.2
1988,5252.6,8474.5,7.7,3.7
1989,5657.7,8786.4,5.7,1.9
1990,5979.6,8955,3.3,-0.1
1991,6174,8948.4,5.9,3.5
1992,6539.3,9266.6,5.2,2.8
1993,6878.7,9521,6.3,4
1994,7308.8,9905.4,4.8,2.7
1995,7664.1,10174.8,5.7,3.8
1996,8100.2,10561,6.2,4.4
1997,8608.5,11034.9,5.7,4.5
1998,9089.2,11525.9,6.3,4.8
1999,9660.6,12065.9,6.5,4.1
2000,10284.8,12559.7,3.2,1
2001,10621.8,12682.2,3.4,1.7
2002,10977.5,12908.8,4.8,2.9
2003,11510.7,13271.1,6.6,3.8
2004,12274.9,13773.5,6.7,3.5
2005,13093.7,14234.2,6,2.9
2006,13855.9,14613.8,4.6,1.9
2007,14477.6,14873.7,1.8,-0.1
2008,14718.6,14830.4,-1.8,-2.5
2009,14418.7,14418.7,3.8,2.6
2010,14964.4,14783.8,3.7,1.6
2011,15517.9,15020.6,4.2,2.2
2012,16155.3,15354.6,3.6,1.8
2013,16691.5,15612.2,4.4,2.5
2014,17427.6,16013.3,4,2.9
2015,18120.7,16471.5,2.7,1.6
2016,18624.5,16716.2,4.2,2.2
